NtAcceptConnectPort,NtAccessCheck,NtAccessCheckAndAuditAlarm,NtAccessCheckByType,NtAddAtom,NtAdjustGroupsToken,NtAdjustPrivilegesToken,NtAlertThread,NtAllocateLocallyUniqueId,NtAllocateUuids,NtAllocateVirtualMemory,NtAlpcAcceptConnectPort,NtAlpcCreatePort,NtAlpcCreateResourceReserve,NtAlpcCreateSecurityContext,NtAlpcDeleteSectionView,NtAlpcSetInformation,NtApphelpCacheControl,NtAssignProcessToJobObject,NtCallbackReturn,NtCancelIoFile,NtCancelTimer,NtClearEvent,NtClose,NtCompareTokens,NtContinue,NtCreateDebugObject,NtCreateDirectoryObject,NtCreateEvent,NtCreateFile,NtCreateKey,NtCreateMailslotFile,NtCreateMutant,NtCreateNamedPipeFile,NtCreatePrivateNamespace,NtCreateSection,NtCreateSemaphore,NtCreateThreadEx,NtCreateTransaction,NtCreateUserProcess,NtDelayExecution,NtDeleteAtom,NtDeleteKey,NtDeleteValueKey,NtDeviceIoControlFile,NtDuplicateObject,NtDuplicateToken,NtEnumerateKey,NtEnumerateValueKey,NtFindAtom,NtFlushBuffersFile,NtFlushInstructionCache,NtFs,NtGetContextThread,NtGetNextThread,NtGetNlsSectionPtr,NtIsProcessInJob,NtLockFile,NtLockVirtualMemory,NtMapViewOfSection,NtNotifyChangeDirectoryFile,NtNotifyChangeKey,NtOpenDirectoryObject,NtOpenFile,NtOpenKey,NtOpenMutant,NtOpenProcess,NtOpenThread,NtPlugPlayControl,NtPowerInformation,NtPrivilegeCheck,NtPrivilegedServiceAuditAlarm,NtProtectVirtualMemory,NtQueryAttributesFile,NtQueryDebugFilterState,NtQueryDefaultLocale,NtQueryDirectoryFile,NtQueryEaFile,NtQueryFullAttributesFile,NtQueryInformationFile,NtQueryInformationJobObject,NtQueryInformationProcess,NtQueryInformationThread,NtQueryInformationToken,NtQueryMultipleValueKey,NtQueryPerformanceCounter,NtQuerySecurityAttributesToken,NtQuerySecurityObject,NtQuerySystemInformation,NtQueryTimerResolution,NtQueryVirtualMemory,NtQueryVolumeInformationFile,NtQueueApcThread,NtRaiseException,NtRaiseHardError,NtReadFile,NtReadVirtualMemory,NtReleaseMutant,NtReleaseSemaphore,NtRemoveIoCompletionEx,NtReplyPort,NtReplyWaitReceivePort,NtRequestPort,NtResetEvent,NtRollbackTransaction,NtSetContextThread,NtSetEvent,NtSetInformationFile,NtSetInformationObject,NtSetInformationProcess,NtSetSystemInformation,NtSetValueKey,NtSuspendThread,NtTestAlert,NtTraceEvent,NtWaitForSingleObject,NtWriteFile,NtYieldExecution,Digital Sign,PE32/PE64,BL Import,Import,Export,Resource,BL String,String,Label
2,1609,53,30,8,2,16,77,0,0,271,19,2,0,242,7,0,10,0,108,0,20,157,6655,8,52,0,0,2673,310,45,0,14,0,0,82,26,48,0,1,79,0,14,0,2609,84,35,137,3,12,55,0,285,0,0,0,0,0,0,137,0,4,16,197,1964,0,202,2555,0,433,0,0,246,51,31,3,265,0,32,226,0,2046,269,295,0,59,0,0,1253,1,792,52,6,3,0,30,244,295,8,10,6,22,36,1,0,0,6437,74,300,204,1,65,0,48,127,3879,210,15,0,0,1,2,7,1,0,246,1
1,1829,64,44,7,4,24,86,2,1,581,34,2,1,239,6,3,10,0,3247,0,23,211,8132,8,61,0,2,2785,477,53,0,54,1,1,129,28,64,0,2,80,0,14,0,2655,121,87,660,302,74,63,22,387,0,2,0,0,1,0,251,0,2,18,366,2828,1,479,5586,0,443,1,0,262,162,62,17,331,0,154,398,1,2454,497,498,2,121,0,0,1301,0,865,231,6,3,0,79,1661,446,20,4,5,24,38,1,0,0,6558,101,324,385,2,66,1,71,107,4878,233,20,0,0,22,65,0,2,0,538,1
0,1552,53,30,0,2,17,81,0,0,178,19,2,0,182,6,0,0,0,79,0,20,160,5587,8,49,0,0,2313,239,39,0,8,0,0,39,19,47,0,0,78,0,13,0,2266,60,22,139,3,12,49,0,276,0,0,0,0,0,0,72,0,2,14,132,1416,0,143,2093,0,429,0,0,100,11,0,2,107,0,1,167,0,1963,238,266,0,16,0,0,1245,0,783,41,6,3,0,35,11,286,8,6,0,2,35,1,0,0,6419,81,284,180,1,49,0,46,106,3807,199,14,0,0,0,1,0,9,0,8548,1
5,1675,62,49,15,1,25,144,0,0,647,44,6,4,250,8,5,4,0,7456,0,24,272,10797,16,74,0,0,2930,509,298,0,39,0,0,162,28,74,0,1,206,3,13,2,3087,126,55,1799,298,59,61,20,329,0,0,0,0,0,13,247,1,52,13,331,6126,2,642,4401,16,423,1,1,254,175,31,2,189,0,45,251,0,2172,1156,895,2,582,0,38,1358,1,1136,69,10,4,0,219,192,734,14,10,8,38,42,0,0,0,6726,221,306,312,95,60,0,76,898,6967,222,28,0,0,36,125,0,10,3,687,1
3,1828,64,44,7,4,24,88,2,1,583,34,2,1,239,6,3,10,0,3285,0,23,216,8209,8,64,0,2,2842,459,53,0,54,1,1,133,28,66,0,2,80,0,14,0,2637,131,90,660,302,72,63,22,393,0,2,0,0,1,0,240,0,3,19,367,2854,1,489,5592,0,444,1,0,260,163,64,17,328,0,154,363,1,2443,506,499,2,115,0,0,1299,0,850,197,6,3,0,89,1445,442,18,4,8,36,39,1,0,0,6526,109,324,388,2,66,1,74,105,4816,233,19,0,0,32,83,0,1,3,1231,1
0,1580,53,30,0,2,17,88,0,0,152,20,3,0,220,5,0,0,0,66,0,19,152,5811,4,47,0,0,2416,318,39,0,1,0,0,27,18,45,0,0,77,0,13,0,2739,57,13,135,0,6,49,0,264,0,0,0,0,0,0,42,0,1,11,116,1599,0,112,2384,0,403,0,0,53,1,0,0,104,0,0,156,0,1837,215,273,0,0,0,0,1209,0,659,31,6,3,0,19,0,287,4,2,0,2,33,1,0,0,6383,64,264,175,1,49,0,42,86,3817,190,13,0,0,6,24,0,3,0,272,1
7,1815,72,138,32,1,30,129,0,0,3795,75,9,6,279,7,15,20,1,7250,0,25,305,18886,17,105,0,0,3757,1110,316,0,123,2,0,413,65,665,0,4,1703,3,14,9,3307,261,89,2538,369,2451,69,20,810,0,0,0,0,4,13,649,4,61,42,782,11890,9,2309,12727,20,508,2,1,1826,763,124,16,718,0,184,881,0,3015,2727,3086,6,1033,2,92,1480,1,2034,175,12,3,0,1255,591,1280,32,12,13,50,59,0,0,0,7751,957,474,1664,87,102,0,1236,962,11456,380,53,0,0,52,100,0,3,1,1029,1
1,1822,64,44,5,4,22,86,2,1,515,33,2,1,239,6,3,10,0,6288,0,23,205,8022,8,58,0,2,2778,528,53,0,50,1,1,115,25,61,0,2,90,0,14,0,2650,119,81,622,164,1256,63,22,429,0,2,0,0,1,0,224,0,2,17,337,2737,0,436,3469,0,444,1,0,208,150,62,16,324,0,155,479,1,2394,484,477,2,2575,0,0,1295,0,846,315,6,3,0,84,1463,452,15,4,30,64,36,1,0,0,6521,108,324,382,2,66,1,66,105,4811,233,29,0,0,13,34,0,1,0,452,1
1,1614,53,30,3,2,16,76,0,0,186,18,1,0,228,5,0,0,0,130,0,21,148,6038,8,38,0,0,2531,285,39,0,8,0,0,35,21,35,0,0,79,0,13,0,2534,54,22,137,2,18,55,3,315,0,0,0,0,0,0,65,0,1,12,123,1715,0,144,2428,0,447,0,0,82,15,0,1,118,0,1,165,0,34202,33527,262,0,18,0,0,1212,0,760,39,6,32327,0,40,51,295,2,4,3,10,23,1,0,0,6427,86,300,165,1,49,0,34,96,3829,207,15,0,0,2,74,0,8,0,1241,1
3,994,136,223,36,0,56,186,2,0,3213,107,11,7,583,9,25,34,1,8059,0,25,412,27876,100,108,0,0,5742,1640,676,0,156,5,0,1720,76,335,8,7,2059,3,11,25,5024,639,120,2675,382,2317,52,22,1147,0,0,0,0,4,13,817,4,105,81,1122,15599,13,3045,15733,404,531,4,2,1482,929,204,54,1159,0,260,1899,0,3109,2503,4794,16,1133,26,107,3673,1,6592,191,14,4,0,1203,712,3001,95,14,11,36,56,0,0,0,8558,2043,535,1046,19,222,0,579,995,15663,730,69,1,0,6,11,0,53,0,8892,1
